,count,rate_num,ratio,trace,score,var_fin,learn_time,n_selected,n_pruned
439,9,1,10,False,55.0,0.0,15.0,0,0
440,0,1,15,True,57.0,0.0,15.0,0,0
441,1,1,15,True,51.0,0.0,15.0,0,0
442,2,1,15,True,61.0,0.0,15.0,0,0
443,3,1,15,True,54.0,0.0,15.0,0,0
444,4,1,15,True,55.0,0.0,15.0,0,0
445,5,1,15,True,54.0,0.0,15.0,0,0
446,6,1,15,True,55.0,0.0,15.0,0,0
447,7,1,15,True,47.0,0.0,15.0,0,0
448,8,1,15,True,50.0,0.0,15.0,0,0
449,9,1,15,True,53.0,0.0,15.0,0,0
450,0,1,15,False,54.0,0.0,15.0,0,0
451,1,1,15,False,61.0,0.0,15.0,0,0
452,2,1,15,False,50.0,0.0,15.0,0,0
453,3,1,15,False,60.0,0.0,15.0,0,0
454,4,1,15,False,56.0,0.0,15.0,0,0
455,5,1,15,False,55.0,0.0,15.0,0,0
456,6,1,15,False,63.0,0.0,15.0,0,0
457,7,1,15,False,51.0,0.0,15.0,0,0
458,8,1,15,False,52.0,0.0,15.0,0,0
459,9,1,15,False,59.0,0.0,15.0,0,0
460,0,1,20,True,56.0,0.0,15.0,0,0
461,1,1,20,True,63.0,0.0,15.0,0,0
462,2,1,20,True,44.0,0.0,15.0,0,0
463,3,1,20,True,58.0,0.0,15.0,0,0
464,4,1,20,True,58.0,0.0,15.0,0,0
465,5,1,20,True,51.0,0.0,15.0,0,0
